,tweet_id,text,is_sarcasm
0,264033382076407808,you are full of shit,False
1,265895586660757505,you're fucking retarded,False
2,265895723445411841,you are the stupidest man on planet earth,False
3,265896172726661120,i am continually amazed and terribly inspired by you if such an idiot can make a ton of money here's hope for me yet,True
4,266042962650226688,hey you mad bro,False
5,291941831476920321,go fuck yourself,False
6,299530972087599105,if you hate america so much you should run for president and fix things,False
7,331907859916922880,you asshole stfu abt military you know nothing men like you assault think it's a woman's fault as a vet you sicken me,False
8,365694278845997057,dude that's freaking cool as heck rt wind turbine blades will slice million birds and bats to death in yrs,True
9,377947866641485824,“ i would like to extend my best wishes to all even the haters and losers on this special date september th ”,False
10,388618880605646848,beautiful morning walk in hyde park london with,False
11,427956124411641856,retweet if you agree w hillaryclinton,False
12,440331541580099584,why the fuck do i even follow you because you're addicted to genius asshole,True
13,440688053129318400,if was president middle class would make more i honestly think he could keep jobs in america so true-easy,False
14,484662433404162048,haha just came up and asked are you guys the vamps we are all confused and impressed she was soo nice,False
15,516382428395745280,do you pay an angry year old boy to handle your twitter account,True
16,537158751116357632,sadly your racism is poisoning your barely functioning brain you are a terrible person,False
17,587354526857957376,hillary clinton has stolen our innovative wikileaks twitter logo design compare vs,False
18,587364252484296705,yaas,False
19,592958704196059136,it's clear been racist saying our african american president it's plain to see we won't miss u when u perish,False
20,596194588064354304,there's an important choice to be made today vote wisely  favourite for milk first  retweet for milk last electionday,False
21,624651124545581056,has been a great friend for many years we don't need another politician we need a businessman like mr trump trump,False
22,625869142592212992,toast dems had better get the'b team off the bench for attorney general under president trump,False
23,630010650488541184,not sure why blasts for objectifying woman treating women as objects really megyn,False
24,634155794724814848,i mean if you're so good at negotiating how come you couldn't get,True
25,634750634420531200,every time i see address a crowd i want to start chanting usa usa usa americanpride is back trump,False
26,634892204759056384,if only keeps of his promises that will still be times more than the has in years,True
27,638663725763923968,a real hero would have actually written fuckface coward,False
28,643583883506749441,fuck,False
29,651489489811046401,which clown would you rather see as president retweet for bozo the clown favorite for donald trump,False
30,658662473231298560,hey you saw a kid lost in new york and didn't tell an adult how can we trust you to be president,False
31,661259584418545664,thank you for tweeting me so honored to support you,False
32,662122334652772353,no sé quién esta más pendejo si o,OTHER LANGUAGE
